comment,label
giao hàng sai màu gây khó chịu và cảm giác không thích sp mình mua mất dần niềm tin,-1
sao mình nhận camera lại không có thẻ nhớ nhỉ shop ơi,-1
giao hàng rất nhanh tuy nhiên cuốn sách mình nhận được bị gãy trang bìa nên không đẹp mắt lắm không biết như vậy có được đổi trả hay không,-1
k được tốt lắm rót nước bị tràn ra hai bên mép dễ bị phỏng,-1
không hiệu quả chút nào ngâm nguyên ngày mà bồn cầu vẫn tắc,-1
tiki giao hàng nhanh về nội dung do tác giả là người việt nên cách viết gần gũi dễ hiểu sách dành cho người mới bắt đầu tìm hiểu về tài chính cá nhân nên viết hơi thiếu chiều sâu phần nào cũng nói nhưng cái nào nói cũng ít sơ sơ những người đã tìm hiểu về tài chính cá nhân rồi thì không cần đọc sách đẹp nhưng mắc quá tác giả chủ yếu viết sơ sơ để hướng người đọc tham gia khoá học của tác giả là chính nên cuốn này không thấy được sale off bao giờ chúc mọi người tìm đc cuốn sách phù hợp và canh được sale tốt,1
so ok,0
rất ưng yd,1
hơi chật ko vừa với kích cỡ của t,-1
giao hàng chậm mất 4 5 hôm,-1
giá treo ok treo lên cảm giác hơi lỏng lẻo shop có gửi cái để vặn nhưng mà ko vừa ốc chỉ vừa ốc phía sau chỗ điều chỉnh nghiêng nhưng cơ bản tạm đc,1
sản phẩm không đúng mô tả,-1
sài tốt phê lắm,1
sản phẩm chất lươ ng nên mua,1
máy không dùng được đổi trả như thế nào shop,-1
ok giao nhanh date 7 2022,1
quá tệ mặc ko có vừa tý nào,-1
mác bị tróc nên không biết do dán nhãn lỗi hay cố ý miếng kim loại giữ dây bị đen xì nhìn chung thì khá và đúng thể tích hay chất lượng,-1
máy hơi nhỏ lực hút cũng bt đúng tầm giá,0
okjnbnvjjhh,1
sp giao nhanh khá là thích dịch vụ,1
chất lượng không đảm bảo,-1
hàng dùng như lol khô éo có tí nhờn nào,-1
chảo nặng tay chống dính tốt lòng chảo không u chiên chín đều,1
tất xài ok,0
sách hay bọc gói cẩn thận lắm luôn nội dung cũng được chứ không hay như mình nghĩ,1
hàng ok nhưng lần đầu tiên tiki giao trễ mấy ngày luôn,-1
hàng giao bị lỗi vỏ hộp cơm bị móp yêu cầu đổi hàng,-1
sản phẩm chính hãng chất lượng tốt,1
thiếu cái cục usb để nhét vào máy tính k có cục đó sao sài đc trời,-1
size nhỏ hơn thực tế vải không tốt lắm,-1
ko ổn quay đeo dễ bõng tuột,-1
hàng dùng ổn cầm bên ngoài ko thaay bị thoát nhiệt vô địch trong tầm giá,1
đúng như mong đợi,1
túi tốt hài lòng,1
cũng ok lắm,1
nồi xinh giao nhanh như hỏa tốc săn dc giá tốt nồi có chức năng tự ngắt điện chiên 1 quả trứng trong 2 30 vỉ ha áo nhìn xinh và chắc chắn mình rất tin tường thương hiệu elmich quá ok đáng mua,1
phê quá phê,1
mình mới mua lần đầu chúc cacban có trải nghiệm thành công,1
chưa đập nhưng giao nhanh trong 2h,0
chất âm tốt đáng với giá tiền đóng gói an toàn rất hài lòng,1
hiện nay máy đang bị sự cố đề nghị các tư vấn xem xét,-1
giao hàng nhanh đóng gói cẩn thận bình đẹp rất hài lòng cảm ơn tiki,1
uống được khoảng 1 tuần thì đem đổ vì nó làm bị sôi bụng khó tiêu nhất là ngủ hay bị nằm mơ kỳ lắm làm rất mệt người ai có bị nên chia sẻ thật lòng để mọi người biết vì mình thấy nhiều người mua nên mua theo mà cảm nhận thực tế thì không ổn rồi,-1
sản phẩm tốt rẻ bền đã xài đến cái thứ 2,1
shop chuẩn bị hàng nhanh giao hàng siêu nhanh tăm nước ổn lực mạnh nên mình dùng chế độ soft trước dễ sử dụng chính hãng giá tốt,1
tôi đã mua nhiều lần trên tiki ngoài milo còn có mưa sữa tươi bịch vinamilk nói chung là bên tiki và cty ghn hợp tác rất tốt date mới gói hàng cẩn thận nv giao hàng rất nhanh có hàng là mang tới tận nhà ko cần alo hỏi đg,1
đã từng mua loại cafe này rồi thật sự rất ngon vừa miệng nên quyết định mua thêm 1 bịch nữa lần trước là mua dạng đóng hộp,1
tuy mẫu xưagọnnhẹrất thíchoke,0
đẹp mịnh mát phù hợp giá tiền,1
sách bị rách bìa thiếu 1 cuốn cây cam ngọt của tôi mà vẫn tính tiền 3 cuốn shop phản hồi nhanh vấn đề này tạm thời rate 1 sao,-1
chất lượng không tốt dùng ít hôm mà phản quang đã không nhạy,-1
quần đẹp xịn nha cho shop 5 sao,1
hàng như hình shop giao nhanh,-1
bình giử nhiệt lâu vấn đề này thì khỏi bàn dung tích bình lớn sử dung thỏa mái cho 1 buổi gia công tốt nấp bình dễ vệ sinh hơi tiết vì màu xanh không đẹp như trong hình nhìn chung mua ngay đượt km thì giá quá tốt trên chất lượng,1
shop giao hàng thế nào mua dung dịch 3m 210k giao sonax 149k cần trả lại hàng,-1
co giãn thoải mái giao hàng nhanh,1
sp đúng như mô tả chất khá tót đường chỉ đẹp,1
tất dùng được nhưng bao bì đóng gói nhiều rác thải không tốt cho môi trường,-1
ok voi gia tien,1
chỉ dẫn chiều cao cân nặng ko đúng rất chật không thể mặc nổi mà không cho đổi,-1
máy vắt rất êm thích xài hàng của lock lock,1
hàng mới còn hạn sử dụng dài đóng gói cẩn thận sẽ mua tiếp trên tiki lần sau,1
xài ok giá 610k quá ổn,1
hàng đẹp shop giao nhanh lại còn đc tặng 1 đôi tất ủng hộ shop,1
chưa giao hàng ngta mà nói giao hàng thành công ngta thanh toán hết tiền rồi mà giờ k giao,-1
mình đã nhận hàng tuy nhiên khi sử dụng nước nóng thì nắp bình bị tỏa nhiệt,-1
chất lượng thấp hơn so với giá thành,-1
sách giao hộp bị rách sách bị gãy ngay góc hơi buồn vì cũng mua online nhìu lần trên app khác nhưng tiki là lẩn đầu tiên mà thất vọng,-1
đẹp đáng mua,1
sản phẩm đúng mô tả sử dụng tốt thời gian giao hàng quá dài,1
nv tiki giao hàng kg cho xem sp trong hộp nên phải đổi sp lần 2 mới sử dụng được,-1
lực bắn mạnh lần đầu dùng có chảy máu nướu dùng vài lần hết tầm giá đáng mua,1
chất vải ko được mềm rất bí,-1
khăn lau mặt người lớn hơi rát da nên mình k dám lau trực tiếp khi vệ sinh cho bé ng nhà nói k giống mua trong siêu thị,-1
giao sai sản phẩm đánh giá 5 cho tiki vì thu hồi và hoàn tiền nhanh,-1
rất hài lòng date xa tháng 4 5 2022,1
sản phẩm tốt trong tầm giá gia hàng nhanh mncm mxcv,1
quần đẹp mặc mát rất ok đánh giá 5 sao,1
giao hàng quá lâu 2 tháng luôn,-1
tai nghe ko ổn định đường truyền nghe 1 thời gian thì âm thanh bên to bên nhỏ,-1
ko bọc chống sốc hộp móp méo đúng kiểu bị quăng bị đè tùm lum,-1
giao hàng hoi lâu,-1
chưa dùng nhưng cách gửi hàng và giao hàng rất chuyên nghiệp,1
giao hàng nhanh đóng gói kỹ càng,1
sách quá đẹp bìa sách trông rất sang,1
hàng ok lắm nè,1
tiki làm ăn ngày càng chán tự ý hủy đơn rồi đổ lỗi ko liên hệ được người nhận yêu cầu xin lỗi hoặc giải thích lý do thì sau 1 tuần chả làm được gì rồi chốt bộ phận hổ trợ của tiki không thể giải quyết đơn này nữa cũng thể gửi lời xin lỗi đàng hoàng mong anh thông cảm như trò đùa,-1
tạm được gai nhỏ giống như không có,0
mua sách ở tiki chưa bao giờ sai,1
sữa rất béo pha chung với cà phê hay làm sinh tố trái cây đều ngon thiết kế nắp hộp tiện dụng dễ mở,1
sách được đóng gói cẩn thận giao nhanh,1
nắp sạc rất dễ bị mất do là nắp rời sản phẩm tiki bảo hành tốt nên mình mua lại sau khi hư hỏng tăm nước cũ,-1
bán quạt cho cục rồi xài hết pin mua cái khác à trông hình có cái tay xách nhưng giao có bán hàng có tâm,-1
tốt dùng bền,1
minh moi dung nen chua bit nhu the nao vi minh chỉ dung qua loai chong nang bt thoi do mat minh nay mụn và dễ kich ung nen dung thử minh mua luc fsale 459k của mall nên cung yên tam,1
đã nhận hàng nhưng sản phẩm đã hết hạn hơn tháng trước,-1
mình đặt mua lúc sale giá tốt bên ngoài nhìn đẹp hơn hình của shop bình to đẹp tiện lợi mình giữ nóng 16 tiếng uống gần hết nước mà vẫn còn nóng rất thích,1
sử dụng được nhưng không phải tất cả như quảng cáo,-1
cực kì tốt,1
giao hàng nhanh chất lượng tốt giống hình ảnh,1
rất hay và thực tế cho tài chính cá nhân,1
dùng thấy ok mỗi tốn dầu,0
găng hợp với tay nhỏ,-1
rất tốt mọi người mua sài ok hợp lý tầm giá,1
chất lượng sản phẩm ok shop tư vấn được sản phẩm ổn nhận về giống hình,1
bao bì đẹp cà phê đậm đà thơm ngon mà sao lại sản xuất bên thái lan,1
sản phẩm uống ngon,1
sản phẩm đúng như miêu tả nhãn mắc xuất xứ đầy đủ mềm mại co dãn tốt đi vào thấy thoải mái,1
dịch vụ tốt hỗ trợ nhiệt tình,1
sữa rửa mặt tốt mk chọn dưỡng trắng nhưng ko có t d mùi hơi khó chịu tốt,1
con chuột của mình về bật ko lên đèn ko chạy được đã kiểm tra kĩ nhưng ko khả quan chán,-1
chat luong ok moi tội giao hàng chậm,0
tôi có điền thông tin để xuất hóa đơn công ty nhưng vẫn chưa nhận được hóa đơn,-1
có gì to tát đâu binh thường,0
chất lượng chiêu mộ anh hùng trúng quà samsung chiêu mộ anh hùng trúng quà samsung mở ứng dụng tham gia săn thưởng sở hữu galaxy note 20 ultra và coupon 50k,1
dán chưa ăn lắm nhưng xài ổn,0
sản phẩm tốt đúng như mô tả giao hàng nhanh,1
giao hàng cực lâu,-1
hàng đẹp như quãng cáo tuy nhiên thông tin sản phẩm chưa được cập nhật,1
fahasa đóng gói sách khá kỹ và gọn tuy nhiên fahasa chưa phải là đơn vị bán sách online cạnh nhất tôi mua sách online của fahasa 4 năm rồi giá sách cao hơn những nhà bán khác tôi order và click thanh toán xong thì thấy tiki trading giảm 50 trên giá bìa và hơn nữa sách của first new được giảm thêm 20 nữa cho đơn hàng 150k trở lên sale trong ngày với đơn hàng này bên tiki trading chỉ có giá 174k còn fahasa thì 2 hơn nữa nếu tiki trading giao đơn hàng này là giao nhanh trong ngày vì ưu đãi của tiki còn bên fahasa tôi đặt hàng lúc 1h khuya 8 7 thông báo chi tiết trong đơn hàng là giao hàng ngày 10 7 vậy mà ngày 10 7 mới đóng gói hàng và giao hàng trễ 2 ngày 12 7 suốt 4 năm nay tôi cứ được trải nghiệm giao hàng chậm và trễ của fahasa cũng như quy trình thông báo giao hàng ko hợp lý có lần tôi còn gặp sách bị lỗi in ấn e phản hồi tôi còn lưu lại tất cả làm việc với fahasa khi có vấn đề tôi còn lưu lại hết các bạn hãy cân nhắc nhé cuối cùng tôi nói lời cảm ơn fahasa đã là cầu nối cung cấp sách cho tôi để tôi có thêm thông tin và thêm hiểu biết trong 4 năm qua i thank you,-1
hay và thú vị,1
máy sử dụng rất tốt xịt rất sạch răng mạnh nên mua dùng hàng ngày,1
giá cả leo thang quá đắt hơn gần 100k mình mua cách đây 1 tháng,-1
cà phê bị ướt nhưng chỉ hư thùng và hộp may mà cà phê bên trong không sao,0
xin xò giữ nhiệt cực tốt nha các bạn trẻ,1
ngon dễ uống ship nhanh và giá phải chăng ạ,1
đẹp xịn hơi ồn khi nấu,0
mua khung giờ có quà tặng kèm mà cuối cùng không có gì cả,-1
sản phẩm rất tốt ve sinh dễ dàng giá sale nen ko đòi hỏi gì nữa,1
bình đẹp giữ nhiệt lâu,1
vải thực sự không được tốt nhưng mà vì rẻ nên 3 sao,0
đã dùng hết hàng ok chất lượng,1
trog 2 bông có 1 bông bị nứt bể nhưng cũng khá ổn k ảnh hưởng nhiều,-1
bình giá rẻ xài khg bền giao hàng nhanh,-1
chất tốt đương may đẹp hợp với túi tiền,1
rất chắc chắn và dễ lắp đặt,1
quần mát mặc thoải mái,1
tam dc phu hợp giá tiền,0
vắt cam dùng rất tốt dùng một thời gian rồi mới viết đánh giá cho mọi người biết để mua ạ,1
giao hàng trễ,-1
đây là con thứ 2 mình mua loại giảm tiếng ồn nhưng đợt này con lăn giữa vẫn quá ồn báo đổi mới nhưng vẫn nhận về chuột cũ tiếng ồn con lăn giữa giảm đc chút,-1
hình thức đẹp sách store giao mình bị lỗi cắt giấy góc nhưng không nhiều lắm nên không complain nội dung chưa đọc mình sẽ review sau,1
chất lượng tốt tất đi ôm chân vải thoáng không bị mùi a giao hàng vui tánh giao hàng rất nhanh rất hài lòng về chất lượng cũng như sản phẩm dịch vụ của tiki 3 năm rồi toàn mua trên tiki 5,1
máy gọn nhẹ,1
như l không như mô tả,-1
được fykcyykctkctx,0
nội dung nghèo nàn,-1
cứ gọi là trong suốt,1
ok tuyệt vời,1
tiki giao hàng nhanh đóng gói cẩn thận hình ảnh chính xác,1
minh mua loai co 3 tủ va thay co tang mot bo tu vit nhung chỉ giao có 2 tủ va khong co tu vit nhan vien giao hang du la giao hang nang nhung khong ho tro ma hối khach hang,-1
nội dung cốt lõi rất hay và hấp dẫn thực tế và dễ hiểu tuy nhiên những chương gần cuối diễn giải bị lặp lại nhiều ý tưởng của các chương đầu không mạch lạc tiki luôn ship rất nhanh sách giá tốt mà vẫn mới tinh điểm trừ rất rất lớn là cuốn này dịch thuật quá tệ tài chính không phải là một lĩnh vực dễ chuyển ngữ nhưng cuốn này có quá nhiều đoạn dịch nghe rất trúc trắc khó hiểu,1
normal normal normal normal,0
không thơm lắm nhưng có vẻ khá sạch,0
giao khá nhanh đóng gói kỹ chưa dùng thử nhưng giá tốt shipper lịch sự,1
ngon nhưng mua xl thì sẽ ôm chân hơn,0
với giá 800k vs 50w thì cũng ko đáng đổi lại kiểu dáng đẹp vs chăc chắn,0
tiki giao hàng rất nhanh đặt vào nửa đêm nhưng chiều cùng ngày đã nhận được hàng tuy nhiên không có quà tặng như ảnh bìa mô tả,0
máy vắt cam khá tốt vắt cam nhanh và sạch nước nói chung là hài lòng còn về độ bền thì phải sử dụng thêm một thời gian nữa mới đánh giá được,1
ống nước rửa chén nhà mình chảy chậm mình mua đổ vào thì tắt luôn làm sửa rất mệt trước giờ rất hạn chế đánh giá tiêu cực nhưng sợ nhiều người khác có thể bị giống mình,-1
sao nói mua trên 299k sẽ được tặng chảo mà khi mua trên 299k ko thấy hàng khuyến mãi gì hết sao giống đảo khách hàng quá vậy,-1
mình mới mua về đinhn dùng thì bị rò nước đề nghị tiki tiến hành đổi trả hàng,-1
giáo nhánh dễ lắp đặt hộp mới khá gọn,1
dùng thì ok nhưng mà nhanh bị tróc lớp sơn bên ngoài quá,-1
chào bạn cho mh hỏi balo này đựng vừa laplop 6 inch ko bạn,0
nhanh,1
hàng tốt có kết quả ngay từ lần đầu tiên gội,1
hàng giao nhanh nhưng sách của mình lại được bọc bằng màng bọc thực phẩm,1
giao hàng nhanh đóng gói cẩn thận mua giá rẻ còn được tặng kèm quà km nhỏ xinh tiện lợi kcn có mùi thơm dịu nhẹ thấm nhanh,1
sản phẩm chất lượng tuyệt vời nên mua nhé mọi ngươi sẽ tiếp tục ủng hộ,1
đóng gói cẩn thận giá hợp lý,1
ok rất ok tôi chấm điểm là rất ok,1
chất lượng tốt lắp ráp hơi khó do khá nặng vì lm bằng kim loại,0
sản phẩm ok không bị hỏng rách cái nào còn nguyên seal khi giao hàng có che tên người nhận,1
thời gian giữ lạnh lâu,1
sách nhỏ gọn tiện mang theo đọc bên người nội dung khá ổn thôi chưa ứng dụng thực tế nhiều đa số đều là nghiên cứu quan điểm chủ quan,-1
thùng sữa bị móp 1 hộp sữa bị phồng do bị dập trong quá trình vận chuyển,-1
tôi chưa nhận được sản phẩm này chưa ai liên lạc với tôi hết mà hệ thống cập nhật đã giao hàng tiền hàng tôi đã thanh toán khi đặt hàng thật là thất vọng,-1
nhận chân 3 5 kém ko ổn định,-1
ok lam nhe moi nguoi nen mua vua ve sinh vua tien loi,1
sp rất oke sẽ tiếp tục ủng hộ shop ạ,1
bình nước đẹp nhưng nghiêng vẫn bị rỉ nước,-1
shop k giao bình xịt dầu bảo tặng mà k có hàng tặng,-1
chất lượng thì không bàn đến sản phẩm của hada labo rất tốt toner ẩm mượt srm cũng dịu nhẹ đóng gói cẩn thận nhưng mà ghi đơn 199k tặng son mà không thấy gửi kèm nên mình đánh giá 3 thôi,-1
giữ nhiệt kém không đc 24h không hài lòng,-1
mặc rất mát chim sáng thằn em chào cờ cũng ko bị bó quá rất ok,1
giao hàng cực nhanh máy đẹp rẻ lại được trả góp cài đc hơn 4 tháng rồi rất ok,1
sao mình không nhận được hàng tặng lốc milo ăn sáng vậy shop,-1
sách bị dính trang khá nhiều ở trên đầu muốn đọc thì bắt buộc phải tách ra trông khá lem nhem,-1
màn hình lỗi bị nổ một vài chỗ,-1
bình to đẹp chất lượng tốt tiki giao hàng đúng hẹn,1
san pham đóng gói cẩn thận,1
sản phẩm được,0
ko bọc màng chống sốc nên bị móp ở nhiều chỗ,-1
nói chung là bình thường và,0
thấy dùng ổn,1
5 sao cho sản phẩm vì srm làm sạch nhưng k gây khô da dùng rất thích,1
các bạn giao nhầm rồi mình cần như hình của shop,-1
sạch gàu ok mình đã dùng nhjeu loai ma ko hêt,1
đèn khg có độ nhạy chuột khg ăn nói túm lại không tốt,-1
vải rất tốt nhưng ko có loại size nhỏ dành cho người gầy,0
đẹp giao đúng hàng nhanh lẹ,1
bình làm không chắc chắn hơi nhẹ được cái đun nhanh,-1
hàng đẹp sài bển lần trước mua sài tới nay khoảng 3 năm vẫn còn sài tốt lần này chưa sài nên chưa biết sao,1
sản phẩm dùng tốt cảm thấy rất ok,1
dùng không ok k đảm bảo chất lượng,-1
vỏ hộp móp bẹp,1
kính welkome kinhkong chưa bao giờ làm thất vọng good,-1
vải thoáng mát mặc thoải mái còn bền hay không thì để thời gian trả lời,1
giao nhanh đứng sp,1
sách gọn nhẹ hơn mình nghĩ nhưng chất lượng thì rất ok mới không quăn góc hay bụi bẩn nội dung mình chưa xem qua nhưng về hình thức thì rất tốt tiki giao hàng nhanh sẽ ủng hộ tiếp,1
hàng nhận được rồi nhé nhận được trước 1 ngày so với dự kiến may không bị vỡ nhận đủ hàng rồi nhé,1
không có quà tặng ạ,-1
srm sài êm sạch mà da vẫn có độ ẩm mềm mướt không khô da,1
vải mỏng hơn mình nghĩ giao hàng siêu tốc,-1
rớt nhẹ cái là nắp bể hư lun,-1
nắp hộp hơi khác so với hộp cũ mình mua trước đó nắp này ko kín bằng và cũng ko có chỗ gác muỗng,-1
giá tốt so với thị trường chất lượng quá ok nhân viên tư vấn nhiệt tình 5sao nha,1
so voi gia tien thi cung ok,0
giao trễ ngày so với quy định,-1
ko lôi cuống cho lắm khá nhanh chán,-1
quan dep,1
sản phẩm bị gẫy lẫy nắp nên ko đóng vào được tiki hướng dẫn cách đổi hàng ạ,-1
từ lúc mua bình tháng 3 2021 đến lúc mình sử dụng bình tháng 1 2022 mình để bình trong hộc tủ công ty và vì lockdown cũng như mình về quê tới lúc cầm nó lên tay rồi và sử dụng thì rất bực mình cafe đá mình cho vô tầm 2 tiếng đồng hồ là nó tan hết đá cũng như xuất hiện hiện tượng đổ mồ hôi của bình mấy lần trước mình mua ko có bị như này không biết có mua lầm hàng giả không cũng như không biết có bảo hành gì không,-1
shop giao cammara mà kh có thẻ nhớ của camara,-1
guao nhanh san pham tam dc nhu gia chac do m dang su dung vali lock lock nen cam thay san pham khac nhau the nao cung hop ly voi gia,0
hàng đúng như hình quảng cáo chất lượng và mẫu mã đẹp,1
tuyệt vời xuất sắc hàng như quảng cáo lần sau ủng hộ shop chúc shop đắt khach cám ơn shop,1
giao hàng quá trễ,-1
sản phẩm chất lượng đóng gói tinh tế,1
xăng dỏm mau bay hơi,-1
okay lắm mng,1
một cuốn sách thú vị,1
hàng về nhà hơi trễ so với dự kiến,-1
dùng tạm đc bị mất nhiệt chỗ nắp đậy,0
bình giữ nhiệt tốt nhưng sơn kém quá mình thỉnh thoảng mới dùng mà đã vậy cần cải thiện vì khá ủng hộ tiki,-1
vải mềm mịn như hình mang rất đẹp còn dk tặng 1 đôi tất xịn nữa,1
giao hàng nhanh sản phẩm tốt với giá như đã mua sẽ mua thêm với giá cả như đã mua,1
sản phẩm đóng gói cẩn thận giao hàng nhanh,1
giá rẻ hàng chất lượng,1
gom hàng tồn kho cho tui hả,-1
đây là chiếc bình size lớn rất đẹp bình này thường xuyên được khuyến mãi nên các bạn nên canh giá tốt mà mua,1
cuốn này khá ổn nhưng bìa hơi bẩn ấy,0
đóng gói cẩn thận giao hàng nhanh hsd xa nhưng sữa hơi ngọt đối với người lớn tuổi,1
thiết kế đẹp vải mềm tốt đã mua lần này là thứ 4 rất ưng ý,1
chất lượng giá hợp lý,1
đơn vừa nhận mở ra xem thi bị rách mất 4 tờ,-1
mua gối ôm với gối nằm mà shop lại giao hộp mức nt hỏi shop mà ko thấy shop trả lời,-1
đối tác giao hàng ko được nhanh lắm đóng gói cẩn thận có voucher nên mua dc giá tốt cám ơn shop nhiều,0
lần đầu dùng hàng cao cấp của samsung và cũng là lần đầu mua đồ giá trị lớn trên tiki mọi thứ đều rất tốt mình rất hài lòng thông tin thêm cho các bạn là đơn hàng không có ốp đi kèm nên các bạn nên sắm cùng khi mua điện thoại nhé,1
quyển sách rất hay nên mình không bình luận gì về sách cả cái mình không hài lòng là thái độ và cách giao hàng của người giao hàng lần đầu tiên mình bị vấn đề như vậy sau nhiều năm mua đồ trên tiki anh giao hàng giao lúc mình không có nhà ban đầu anh kêu mình ra một chỗ cách xa nhà mình để lấy sau đó mình nói với anh là giao tới nhà đi mình gọi người nhà nhận hàng giúp mình vì đây là đơn đã thanh toán rồi anh bảo mình nhắn giúp cái tin đã nhận hàng cho anh gọi 2 lần để nhắc mình chuyện ấy dù mình chưa nhận được hàng lần thứ 3 anh gọi lại cho mình báo đã giao hàng rồi nhắn tin giúp anh đi mình gọi về nhà mẹ mình nói là đâu có ai giao hàng đâu mình kêu mẹ kiểm tra thì thấy có hộp đựng hàng nằm ngoài trước nhà hộp thì méo mó biến dạng cha mình đúng lúc về bảo là anh giao hàng ngồi ngay trên xe rồi quăng gói hàng xuống đất mình không biết đây là giao hàng bên tiki hay một bên thứ 3 khác nhưng thật sự trải nghiệm này là lần đầu tiên mình gặp hy vọng không có lần sau,-1
áo đẹp lắm luôn giá tốt mà mặc vào nhìn rất sang trọng lịch sự cảm ơn shop,1
sản phẩm giá rẻ phù hợp với yêu cầu,1
chất lượng tốt kết nối nhanh cảm ứng nhạy,1
cà phê sữa ngon date mới giao hàng nhanh,1
để đồ ăn vào 3 hộp nhỏ xong cho vào hộp to giữ nhiệt nhưng vỏ hộp to bị ấm lên khả năng giữ nhiệt đã bị hỏng yêu cầu tiki đổi trả hoặc hoàn tiền,-1
sản phẩm này dùng tốt hơn nhiều sp mk mua cách đây 2 năm,1
giá tốt tuy date co hơi cận,0
sạc bền và tốt,1
ok dep,1
tôi từng mua 1 con mã này và sử dụng rất tốt trong 3 năm nhưng con chuột này không biết phải do lỗi không mà hiện giờ phần lớn thời gian không điều khiển được tôi cần hỗ trợ cảm ơn tiki,-1
bình giữ nhiệt tốt cả ngày,1
kiến thức của sách thì hay nhưng dịch thì tệ nên làm giảm độ hay của sách có những câu khi đọc lên có thể tưởng tượng ra được cả cấu trúc lẫn từ vựng tiếng anh của nó tôi nghĩ nếu dịch tốt hơn thì sẽ dễ đọc hơn nhiều hoặc thậm chí đọc quách câu đó trong tiếng anh còn dễ hiểu hơn bản dịch nói chung là uổng cho 1 cuốn sách hay,-1
rất hài lòng mình ép cam và dưa hấu,1
tạm ổn nhìn dễ thương,0
sản phẩm như qc chất vải mềm mát thấm mồ hôi,1
sách hay đọc rất lôi cuốn,1
thom,1
ban do khong co xuat su do gj khong ro nguon goc do tao lao,-1
hàng giao cẩn thận ok,1
tiki đóng gói chắc chắn giao hàng có tâm cuốn này thích hợp dùng để nghiên cứu tham khảo,1
sách mới hình thức đẹp giao hàng nhanh đóng gói kỹ lưỡng,1
